,aggregaterating/ratingvalue,aggregaterating/ratingcount,pricerange_All_new,geo/latitude,geo/longitude,containsplacecount,amenityfeaturecount,starrating,reviewscount,paymentacceptedcount,availablelanguagecount,photocount,alternatenamecount,imagecount,pricecurrency,openinghours/workday_start_hour,openinghours/workday_start_minute,openinghours/workday_closed_hour,openinghours/workday_closed_minute,openinghours/weekend_start_hour,openinghours/weekend_start_minute,openinghours/weekend_closed_hour,openinghours/weekend_closed_minute
aggregaterating/ratingvalue,1.0,-0.003177021554573716,-0.09299579521936034,0.0886847743977891,0.06718015127687063,0.02915460825169977,0.09222604867843186,0.019176218100985673,0.2257228000104582,-0.04096468983757334,0.02870479758190947,-0.0010893121008115224,0.007123081110372602,-0.005604668570881203,0.025012922107659222,-0.018847784143034986,-0.07051705197598036,0.026054524242503083,-0.03859224959651925,-0.028660264303885477,-0.0730678450448711,0.0014690712356249694,-0.05723153801625529
aggregaterating/ratingcount,-0.003177021554573716,1.0,-0.11504442953238893,-0.004556210835602263,-0.06388108439451703,0.03748692334466913,0.17367506707913985,0.014405651615732314,-0.033470925205689415,0.004216654943016225,-0.008494866949527268,0.07599040609781708,-0.012706345910360352,-0.005896059437509859,0.13443365848929892,0.021295300370225655,0.06228466223043848,-0.020075017737230357,0.03045286373302212,0.03210685965526338,0.06320322731489417,0.004448621033295012,0.04361471134738223
pricerange_All_new,-0.09299579521936034,-0.11504442953238893,1.0,0.0696705744416142,0.024192108801841965,0.0006409188179906443,-0.19467482581623255,0.12242198451031644,-0.07768475635474917,0.00922974159397492,-0.0062737950674105585,-0.01466730430132022,0.09442716270243662,-0.005939983121307887,-0.5083371897447077,-0.022188622946975912,-0.10408627118356992,0.045544835711132485,-0.062236208417307703,-0.03559294393626172,-0.10756564077067068,0.013330613428377613,-0.0798483331378126
geo/latitude,0.0886847743977891,-0.004556210835602263,0.0696705744416142,1.0,0.15003525915100777,0.07207662079887639,0.0008646731735483984,-0.03446367046333501,0.08555198338794696,-0.07006481484151295,0.03530250391481288,-0.04874318668842458,0.07616899107399973,0.036415175518963186,-0.07788992888399802,-0.0026335290369385728,-0.1720938469446386,0.09680455516148503,-0.12981863669733806,-0.02770155888456212,-0.17881303204199925,0.04679060600256873,-0.14984032950966633
geo/longitude,0.06718015127687063,-0.06388108439451703,0.024192108801841965,0.15003525915100777,1.0,-0.14602149730471967,-0.08248000360512855,0.0909073381731405,0.0759396528445509,-0.08038476621800138,0.026788143668860002,-0.025321309993213185,0.05554375740560128,0.057017795401273726,-0.00684004408687148,-0.014650927698951773,-0.14388872700100144,0.07258651305331609,-0.09866805241385228,-0.03508514002318697,-0.14832712006531878,0.026313898160927152,-0.12123459086243417
containsplacecount,0.02915460825169977,0.03748692334466913,0.0006409188179906443,0.07207662079887639,-0.14602149730471967,1.0,0.13887290251378218,-0.02595910359757692,0.018729851765994447,-0.002940852977724758,0.024223762981184244,-0.004959730833601363,0.10408367054105154,0.002578035625290359,-0.03287129812467442,-0.0025673144618271523,-0.012043207454821415,0.00526972384280694,-0.007200983959251029,-0.004118249245342272,-0.012445784752220704,0.0015424065171365424,-0.009238778851097538
amenityfeaturecount,0.09222604867843186,0.17367506707913985,-0.19467482581623255,0.0008646731735483984,-0.08248000360512855,0.13887290251378218,1.0,-0.05378623227326875,0.04320325059964957,0.017206508126333633,0.11533267435072372,0.07495688152974188,-0.15060869409316843,-0.0005600643759965303,0.15601992129395537,0.0005577352608880836,0.0026163220562251334,-0.001144819166478081,0.0015643750412660496,0.0008946675023278728,0.0027037798091927275,-0.0003350795214304946,0.002007075023110711
starrating,0.019176218100985673,0.014405651615732314,0.12242198451031644,-0.03446367046333501,0.0909073381731405,-0.02595910359757692,-0.05378623227326875,1.0,0.0011831305372568403,0.0073291682441393715,-0.014499302077266948,0.09665957792393577,0.11523331047704671,0.0025788411813751065,-0.06655295010554668,-0.0025681166678812096,-0.012046970583208758,0.005271370467882586,-0.0072032340431473245,-0.004119536070359563,-0.012449673673513434,0.0015428884712813359,-0.009241665682623884
reviewscount,0.2257228000104582,-0.033470925205689415,-0.07768475635474917,0.08555198338794696,0.0759396528445509,0.018729851765994447,0.04320325059964957,0.0011831305372568403,1.0,-0.025940619703873843,0.17654832118768865,0.004193325205759178,-0.009241964361019678,0.006701675804371784,-0.06598666429705312,-0.019543333568339885,0.004234436407491391,-0.01359587515881667,0.015420790431812836,-0.021126706747661646,0.003274662290660348,-0.025897548792035412,0.006329252570150785
paymentacceptedcount,-0.04096468983757334,0.004216654943016225,0.00922974159397492,-0.07006481484151295,-0.08038476621800138,-0.002940852977724758,0.017206508126333633,0.0073291682441393715,-0.025940619703873843,1.0,-0.0011046827174600346,-0.03601915532433865,-0.002645169480490463,0.0009140334621372252,-0.002962346767697846,-0.20267219519582116,0.011737103161891346,-0.1248038536888704,0.1632091568165961,-0.17781457152985433,0.012784801956970897,-0.15495948373775473,0.09288712439214522
availablelanguagecount,0.02870479758190947,-0.008494866949527268,-0.0062737950674105585,0.03530250391481288,0.026788143668860002,0.024223762981184244,0.11533267435072372,-0.014499302077266948,0.17654832118768865,-0.0011046827174600346,1.0,-0.0018630407492767436,-0.002802493208130414,0.0009683963876554855,-0.025645833985480045,-0.000964369160154289,-0.004523831432205728,0.001979484489374138,-0.002704930368415056,-0.001546952126468467,-0.004675052926869778,0.0005793794642861377,-0.003470394271507823
photocount,-0.0010893121008115224,0.07599040609781708,-0.01466730430132022,-0.04874318668842458,-0.025321309993213185,-0.004959730833601363,0.07495688152974188,0.09665957792393577,0.004193325205759178,-0.03601915532433865,-0.0018630407492767436,1.0,0.016202208890983436,0.001541511928492499,0.04798360026606667,0.021621305171451926,0.1439545420347859,-0.0644179226682747,0.09020169496981484,0.03787344854046567,0.13838707032101397,-0.08235349452386985,0.048621917288140366
alternatenamecount,0.007123081110372602,-0.012706345910360352,0.09442716270243662,0.07616899107399973,0.05554375740560128,0.10408367054105154,-0.15060869409316843,0.11523331047704671,-0.009241964361019678,-0.002645169480490463,-0.002802493208130414,0.016202208890983436,1.0,0.0023188310355151134,-0.036799629771397925,-0.0023091878147886683,-0.010832341857278101,0.004739887639806541,-0.0064769722059512405,-0.0037041862681827025,-0.011194442645275601,0.001387327648319121,-0.008309880173891228
imagecount,-0.005604668570881203,-0.005896059437509859,-0.005939983121307887,0.036415175518963186,0.057017795401273726,0.002578035625290359,-0.0005600643759965303,0.0025788411813751065,0.006701675804371784,0.0009140334621372252,0.0009683963876554855,0.001541511928492499,0.0023188310355151134,1.0,-0.01573513370075758,0.0007979356138212443,0.003743095859788172,-0.001637859479896352,0.0022381058655169743,0.001279974770645102,0.0038682191229049857,-0.00047938852420023327,0.002871463851865907
pricecurrency,0.025012922107659222,0.13443365848929892,-0.5083371897447077,-0.07788992888399802,-0.00684004408687148,-0.03287129812467442,0.15601992129395537,-0.06655295010554668,-0.06598666429705312,-0.002962346767697846,-0.025645833985480045,0.04798360026606667,-0.036799629771397925,-0.01573513370075758,1.0,0.027193185607389665,0.12756254852947832,-0.055817306640009,0.0762733573433719,0.04362080211490063,0.13182667718698177,-0.016337284476125587,0.09785783230649524
openinghours/workday_start_hour,-0.018847784143034986,0.021295300370225655,-0.022188622946975912,-0.0026335290369385728,-0.014650927698951773,-0.0025673144618271523,0.0005577352608880836,-0.0025681166678812096,-0.019543333568339885,-0.20267219519582116,-0.000964369160154289,0.021621305171451926,-0.0023091878147886683,0.0007979356138212443,0.027193185607389665,1.0,0.33860683299090416,0.3871880805554887,-0.4858730042971601,0.9160201392756965,0.34221353073786925,0.6570219215723939,-0.09147298075405408
openinghours/workday_start_minute,-0.07051705197598036,0.06228466223043848,-0.10408627118356992,-0.1720938469446386,-0.14388872700100144,-0.012043207454821415,0.0026163220562251334,-0.012046970583208758,0.004234436407491391,0.011737103161891346,-0.004523831432205728,0.1439545420347859,-0.010832341857278101,0.003743095859788172,0.12756254852947832,0.33860683299090416,1.0,-0.20799077768803678,0.3542703345283193,0.4102304030417438,0.8903489625789324,0.035082059608723376,0.5277910023610134
openinghours/workday_closed_hour,0.026054524242503083,-0.020075017737230357,0.045544835711132485,0.09680455516148503,0.07258651305331609,0.00526972384280694,-0.001144819166478081,0.005271370467882586,-0.01359587515881667,-0.1248038536888704,0.001979484489374138,-0.0644179226682747,0.004739887639806541,-0.001637859479896352,-0.055817306640009,0.3871880805554887,-0.20799077768803678,1.0,-0.3982356974260137,0.3209546737949951,-0.23015581523267717,0.4998544186628859,-0.30517797236583494
openinghours/workday_closed_minute,-0.03859224959651925,0.03045286373302212,-0.062236208417307703,-0.12981863669733806,-0.09866805241385228,-0.007200983959251029,0.0015643750412660496,-0.0072032340431473245,0.015420790431812836,0.1632091568165961,-0.002704930368415056,0.09020169496981484,-0.0064769722059512405,0.0022381058655169743,0.0762733573433719,-0.4858730042971601,0.3542703345283193,-0.3982356974260137,1.0,-0.3746442462513767,0.36706026814393067,-0.432437285775322,0.6621487727475783
openinghours/weekend_start_hour,-0.028660264303885477,0.03210685965526338,-0.03559294393626172,-0.02770155888456212,-0.03508514002318697,-0.004118249245342272,0.0008946675023278728,-0.004119536070359563,-0.021126706747661646,-0.17781457152985433,-0.001546952126468467,0.03787344854046567,-0.0037041862681827025,0.001279974770645102,0.04362080211490063,0.9160201392756965,0.4102304030417438,0.3209546737949951,-0.3746442462513767,1.0,0.40198846104127667,0.6784297157036774,-0.09969271110948051
openinghours/weekend_start_minute,-0.0730678450448711,0.06320322731489417,-0.10756564077067068,-0.17881303204199925,-0.14832712006531878,-0.012445784752220704,0.0027037798091927275,-0.012449673673513434,0.003274662290660348,0.012784801956970897,-0.004675052926869778,0.13838707032101397,-0.011194442645275601,0.0038682191229049857,0.13182667718698177,0.34221353073786925,0.8903489625789324,-0.23015581523267717,0.36706026814393067,0.40198846104127667,1.0,0.0028209415858569506,0.5772577713442019
openinghours/weekend_closed_hour,0.0014690712356249694,0.004448621033295012,0.013330613428377613,0.04679060600256873,0.026313898160927152,0.0015424065171365424,-0.0003350795214304946,0.0015428884712813359,-0.025897548792035412,-0.15495948373775473,0.0005793794642861377,-0.08235349452386985,0.001387327648319121,-0.00047938852420023327,-0.016337284476125587,0.6570219215723939,0.035082059608723376,0.4998544186628859,-0.432437285775322,0.6784297157036774,0.0028209415858569506,1.0,-0.03176940722091322
openinghours/weekend_closed_minute,-0.05723153801625529,0.04361471134738223,-0.0798483331378126,-0.14984032950966633,-0.12123459086243417,-0.009238778851097538,0.002007075023110711,-0.009241665682623884,0.006329252570150785,0.09288712439214522,-0.003470394271507823,0.048621917288140366,-0.008309880173891228,0.002871463851865907,0.09785783230649524,-0.09147298075405408,0.5277910023610134,-0.30517797236583494,0.6621487727475783,-0.09969271110948051,0.5772577713442019,-0.03176940722091322,1.0
